Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2023,Program Support,Direct Administrative Costs,4450,Administration and Oversight,Enterprises,Enterprises - United States,Enterprise - United States Other
2023,Health,Maternal and Child Health,4041,MOMENTUM 2A - Global Technical Leadership and Targeted Technical Assistance for MNCH/FP/RH,NGO,NGO - United States,Jhpiego Corporation
2023,Program Support,Direct Administrative Costs,3967,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,3933,USAID Data Services,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,3398,Operations and Maintenance Support for USAID IT Services,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,3334,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,2359,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,2244,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,2200,USAID Travel and Transportation,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,1756,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Government,Government - United States,U.S. Government - Department of State
2023,Program Support,Direct Administrative Costs,1377,USAID Advisory and Assistance Services,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,1271,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Health,Water Supply and Sanitation,1255,Strengthening of Local Government Institutes in North Sindh,Government,Government - Non United States,Government of Pakistan - Government of Sindh
2023,Program Support,Direct Administrative Costs,955,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Economic Development,Agriculture,715,Inter Agency Agreement with USDA - DO2 - Pakistan Soil Fertility Program,Government,Government - United States,U.S. Government - Department of Agriculture
2023,Program Support,Direct Administrative Costs,640,USAID Advisory and Assistance Services,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,634,USAID Travel and Transportation,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,622,"USAID Communications, Utilities, and Rental Payments",Government,Government - United States,U.S. Government - Department of State
2023,Program Support,Direct Administrative Costs,576,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,548,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,533,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,525,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,432,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,428,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,421,Administration and Oversight,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2023,Program Support,Direct Administrative Costs,383,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,362,USAID Advisory and Assistance Services,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,351,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,300,USAID Travel and Transportation,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,290,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,282,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,249,"USAID Communications, Utilities, and Rental Payments",Government,Government - United States,U.S. Government - Department of State
2023,Program Support,Direct Administrative Costs,147,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,138,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,137,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,134,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2023,Program Support,Direct Administrative Costs,113,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,71,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Program Support,Direct Administrative Costs,26,"USAID Communications, Utilities, and Rental Payments",Enterprises,Enterprises - United States,Enterprise - United States Redacted
2023,Humanitarian Assistance,"Protection, Assistance and Solutions",16,Title II RUTF contribution including 202e and ITSH funds,Multilateral,Multilateral - United Nations,United Nations Children's Fund
2023,Program Support,Direct Administrative Costs,9,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - United States,Enterprise - United States Redacted
